year;day;Up;Down;wind;visitors;Period;site;lon;lat;year_raw;amount_raw;wind_raw;Travel Direction
2014;1;2081;2363;37;4444;Weekend;TMACC: Lower Station;18,4031;-33,9482;2014;2081;37;Up
2014;2;0;0;22;0;Weekday;TMACC: Upper Station;18,403;-33,958;2014;0;22;Up
2014;3;2701;3136;48;5837;Weekday;;;;2014;2701;48;Up
2014;4;5691;6065;43;11756;Weekday;;;;2014;5691;43;Up
2014;5;5251;5630;49;10881;Weekday;;;;2014;5251;49;Up
2014;6;5147;5533;47;10680;Weekday;;;;2014;5147;47;Up
2014;7;3988;4549;30;8537;Weekend;;;;2014;3988;30;Up
2014;8;3490;4031;16;7521;Weekend;;;;2014;3490;16;Up
2014;9;5481;6283;21;11764;Weekday;;;;2014;5481;21;Up
2014;10;3037;3630;23;6667;Weekday;;;;2014;3037;23;Up
2014;11;3791;4324;27;8115;Weekday;;;;2014;3791;27;Up
2014;12;0;0;35;0;Weekday;;;;2014;0;35;Up
2014;13;3400;4441;30;7841;Weekday;;;;2014;3400;30;Up
2014;14;1811;2425;46;4236;Weekend;;;;2014;1811;46;Up
2014;15;4007;4840;38;8847;Weekend;;;;2014;4007;38;Up
2014;16;5449;6455;21;11904;Weekday;;;;2014;5449;21;Up
2014;17;0;0;23;0;Weekday;;;;2014;0;23;Up
2014;18;5437;6210;29;11647;Weekday;;;;2014;5437;29;Up
2014;19;6730;7289;24;14019;Weekday;;;;2014;6730;24;Up
2014;20;6361;7376;29;13737;Weekday;;;;2014;6361;29;Up
2014;21;3623;4348;24;7971;Weekend;;;;2014;3623;24;Up
2014;22;4370;4928;33;9298;Weekend;;;;2014;4370;33;Up
2014;23;0;0;40;0;Weekday;;;;2014;0;40;Up
2014;24;4974;5618;23;10592;Weekday;;;;2014;4974;23;Up
2014;25;5866;6525;23;12391;Weekday;;;;2014;5866;23;Up
2014;26;2863;3300;32;6163;Weekday;;;;2014;2863;32;Up
2015;1;4092;4494;29;8586;Weekday;;;;2015;4092;29;Up
2015;2;4469;4929;23;9398;Weekday;;;;2015;4469;23;Up
2015;3;4273;4747;30;9020;Weekday;;;;2015;4273;30;Up
2015;4;5518;5949;37;11467;Weekday;;;;2015;5518;37;Up
2015;5;6056;6409;26;12465;Weekday;;;;2015;6056;26;Up
2015;6;1400;1787;20;3187;Weekend;;;;2015;1400;20;Up
2015;7;5764;6357;21;12121;Weekend;;;;2015;5764;21;Up
2015;8;1968;2136;31;4104;Weekday;;;;2015;1968;31;Up
2015;9;6019;6825;29;12844;Weekday;;;;2015;6019;29;Up
2015;10;5775;6465;41;12240;Weekday;;;;2015;5775;41;Up
2015;11;4628;5087;34;9715;Weekday;;;;2015;4628;34;Up
2015;12;3956;4460;21;8416;Weekday;;;;2015;3956;21;Up
2015;13;6334;7100;29;13434;Weekend;;;;2015;6334;29;Up
2015;14;5603;6543;30;12146;Weekend;;;;2015;5603;30;Up
2015;15;6090;6930;39;13020;Weekday;;;;2015;6090;39;Up
2015;16;6091;7175;22;13266;Weekday;;;;2015;6091;22;Up
2015;17;6706;7737;30;14443;Weekday;;;;2015;6706;30;Up
2015;18;5279;6329;28;11608;Weekday;;;;2015;5279;28;Up
2015;19;6857;7414;33;14271;Weekday;;;;2015;6857;33;Up
2015;20;5889;6874;32;12763;Weekend;;;;2015;5889;32;Up
2015;21;0;0;52;0;Weekend;;;;2015;0;52;Up
2015;22;5663;6314;26;11977;Weekday;;;;2015;5663;26;Up
2015;23;6990;7716;47;14706;Weekday;;;;2015;6990;47;Up
2015;24;3855;4350;43;8205;Weekday;;;;2015;3855;43;Up
2015;25;0;0;44;0;Weekday;;;;2015;0;44;Up
2015;26;0;0;36;0;Weekday;;;;2015;0;36;Up
2016;1;4667;5084;34;9751;Weekday;;;;2016;4667;34;Up
2016;2;4009;4312;24;8321;Weekday;;;;2016;4009;24;Up
2016;3;4670;5269;21;9939;Weekday;;;;2016;4670;21;Up
