year;Up;Down;wind;visitors
2014;2081;2363;37;4444
2014;0;0;22;0
2014;2701;3136;48;5837
2014;5691;6065;43;11756
2014;5251;5630;49;10881
2014;5147;5533;47;10680
2014;3988;4549;30;8537
2014;3490;4031;16;7521
2014;5481;6283;21;11764
2014;3037;3630;23;6667
2014;3791;4324;27;8115
2014;0;0;35;0
2014;3400;4441;30;7841
2014;1811;2425;46;4236
2014;4007;4840;38;8847
2014;5449;6455;21;11904
2014;0;0;23;0
2014;5437;6210;29;11647
2014;6730;7289;24;14019
2014;6361;7376;29;13737
2014;3623;4348;24;7971
2014;4370;4928;33;9298
2014;0;0;40;0
2014;4974;5618;23;10592
2014;5866;6525;23;12391
2014;2863;3300;32;6163
2015;4092;4494;29;8586
2015;4469;4929;23;9398
2015;4273;4747;30;9020
2015;5518;5949;37;11467
2015;6056;6409;26;12465
2015;1400;1787;20;3187
2015;5764;6357;21;12121
2015;1968;2136;31;4104
2015;6019;6825;29;12844
2015;5775;6465;41;12240
2015;4628;5087;34;9715
2015;3956;4460;21;8416
2015;6334;7100;29;13434
2015;5603;6543;30;12146
2015;6090;6930;39;13020
2015;6091;7175;22;13266
2015;6706;7737;30;14443
2015;5279;6329;28;11608
2015;6857;7414;33;14271
2015;5889;6874;32;12763
2015;0;0;52;0
2015;5663;6314;26;11977
2015;6990;7716;47;14706
2015;3855;4350;43;8205
2015;0;0;44;0
2015;0;0;36;0
2016;4667;5084;34;9751
2016;4009;4312;24;8321
2016;4670;5269;21;9939
2016;4833;5424;22;10257
2016;5201;5775;17;10976
2016;3775;4276;40;8051
2016;6113;7028;29;13141
2016;3744;4324;21;8068
2016;3486;3783;31;7269
2016;0;0;23;0
2016;4890;5630;23;10520
2016;6261;7061;38;13322
2016;6526;7464;36;13990
2016;5843;7165;41;13008
2016;0;0;41;0
2016;6773;8161;27;14934
2016;6947;8312;19;15259
2016;5855;7225;33;13080
2016;6559;7163;29;13722
2016;5472;6600;33;12072
2016;0;0;37;0
2016;6388;7615;31;14003
2016;1765;2382;24;4147
2016;0;0;32;0
2016;1451;1713;53;3164
2016;6233;7006;47;13239
2017;5582;6105;36;11687
2017;5625;6062;50;11687
2017;0;0;46;0
2017;0;0;32;0
2017;0;0;30;0
2017;3091;3381;23;6472
2017;6309;6820;23;13129
2017;5331;6072;15;11403
2017;4741;5238;21;9979
2017;4571;5081;24;9652
2017;5311;5990;21;11301
2017;5159;5952;31;11111
2017;4599;5211;42;9810
2017;6344;7237;44;13581
2017;3015;3929;30;6944
2017;7574;8760;24;16334
2017;6995;8101;40;15096
2017;1112;1537;25;2649
2017;5500;5359;30;10859
2017;6427;7698;20;14125
2017;6214;7093;26;13307
2017;6268;7088;34;13356
2017;4989;5560;25;10549
2017;3435;4150;37;7585
2017;202;225;24;427
2017;3301;6107;39;9408
